Starting experiment
Log:       log/5950x-py3-12-gregor-1000000.log
Processes: [32, 31, 30, 29, 28, 27, 26, 25, 24, 23, 22, 21, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1]
Size:      [1000000]
Repeat:    10
Clear:     False
Debug:     False
Algorithm: multiprocessing_mergesort
Tag:       None
Total:     320
Experiment 233       : size=1000000 processes=24 repeat=6 last_time=0.5874                     
Experiment 232       : size=1000000 processes=24 repeat=7 last_time=0.5936                     
Experiment 231       : size=1000000 processes=24 repeat=8 last_time=0.6056                     
Experiment 230       : size=1000000 processes=24 repeat=9 last_time=0.5851                     
Experiment 229       : size=1000000 processes=23 repeat=0 last_time=0.5928                     
Experiment 228       : size=1000000 processes=23 repeat=1 last_time=0.6019                     
Experiment 227       : size=1000000 processes=23 repeat=2 last_time=0.601                     
Experiment 226       : size=1000000 processes=23 repeat=3 last_time=0.6065                     
Experiment 225       : size=1000000 processes=23 repeat=4 last_time=0.6083                     
Experiment 224       : size=1000000 processes=23 repeat=5 last_time=0.5899                     
Experiment 223       : size=1000000 processes=23 repeat=6 last_time=0.5978                     
Experiment 222       : size=1000000 processes=23 repeat=7 last_time=0.5877                     
Experiment 221       : size=1000000 processes=23 repeat=8 last_time=0.5842                     
Experiment 220       : size=1000000 processes=23 repeat=9 last_time=0.5931                     
Experiment 219       : size=1000000 processes=22 repeat=0 last_time=0.5886                     
Experiment 218       : size=1000000 processes=22 repeat=1 last_time=0.5993                     
Experiment 217       : size=1000000 processes=22 repeat=2 last_time=0.6026                     
Experiment 216       : size=1000000 processes=22 repeat=3 last_time=0.6226                     
Experiment 215       : size=1000000 processes=22 repeat=4 last_time=0.6194                     
Experiment 214       : size=1000000 processes=22 repeat=5 last_time=0.5994                     
Experiment 213       : size=1000000 processes=22 repeat=6 last_time=0.6015                     
Experiment 212       : size=1000000 processes=22 repeat=7 last_time=0.5912                     
Experiment 211       : size=1000000 processes=22 repeat=8 last_time=0.6213                     
Experiment 210       : size=1000000 processes=22 repeat=9 last_time=0.621                     
Experiment 209       : size=1000000 processes=21 repeat=0 last_time=0.6125                     
Experiment 208       : size=1000000 processes=21 repeat=1 last_time=0.6085                     
Experiment 207       : size=1000000 processes=21 repeat=2 last_time=0.6147                     
Experiment 206       : size=1000000 processes=21 repeat=3 last_time=0.6211                     
Experiment 205       : size=1000000 processes=21 repeat=4 last_time=0.6205                     
Experiment 204       : size=1000000 processes=21 repeat=5 last_time=0.6201                     
Experiment 203       : size=1000000 processes=21 repeat=6 last_time=0.6237                     
Experiment 202       : size=1000000 processes=21 repeat=7 last_time=0.6347                     
Experiment 201       : size=1000000 processes=21 repeat=8 last_time=0.6277                     
Experiment 200       : size=1000000 processes=21 repeat=9 last_time=0.6254                     
Experiment 199       : size=1000000 processes=20 repeat=0 last_time=0.6163                     
Experiment 198       : size=1000000 processes=20 repeat=1 last_time=0.6416                     
Experiment 197       : size=1000000 processes=20 repeat=2 last_time=0.6407                     
Experiment 196       : size=1000000 processes=20 repeat=3 last_time=0.6444                     
Experiment 195       : size=1000000 processes=20 repeat=4 last_time=0.6378                     
Experiment 194       : size=1000000 processes=20 repeat=5 last_time=0.6448                     
Experiment 193       : size=1000000 processes=20 repeat=6 last_time=0.6797                     
Experiment 192       : size=1000000 processes=20 repeat=7 last_time=0.6466                     
Experiment 191       : size=1000000 processes=20 repeat=8 last_time=0.6359                     
Experiment 190       : size=1000000 processes=20 repeat=9 last_time=0.6297                     
Experiment 189       : size=1000000 processes=19 repeat=0 last_time=0.6513                     
Experiment 188       : size=1000000 processes=19 repeat=1 last_time=0.6559                     
Experiment 187       : size=1000000 processes=19 repeat=2 last_time=0.6522                     
Experiment 186       : size=1000000 processes=19 repeat=3 last_time=0.645                     
Experiment 185       : size=1000000 processes=19 repeat=4 last_time=0.6631                     
Experiment 184       : size=1000000 processes=19 repeat=5 last_time=0.6611                     
Experiment 183       : size=1000000 processes=19 repeat=6 last_time=0.6475                     
Experiment 182       : size=1000000 processes=19 repeat=7 last_time=0.6527                     
Experiment 181       : size=1000000 processes=19 repeat=8 last_time=0.6434                     
Experiment 180       : size=1000000 processes=19 repeat=9 last_time=0.6335                     
Experiment 179       : size=1000000 processes=18 repeat=0 last_time=0.6588                     
Experiment 178       : size=1000000 processes=18 repeat=1 last_time=0.6711                     
Experiment 177       : size=1000000 processes=18 repeat=2 last_time=0.6681                     
Experiment 176       : size=1000000 processes=18 repeat=3 last_time=0.6734                     
Experiment 175       : size=1000000 processes=18 repeat=4 last_time=0.6712                     
Experiment 174       : size=1000000 processes=18 repeat=5 last_time=0.6675                     
Experiment 173       : size=1000000 processes=18 repeat=6 last_time=0.681                     
Experiment 172       : size=1000000 processes=18 repeat=7 last_time=0.6559                     
Experiment 171       : size=1000000 processes=18 repeat=8 last_time=0.673                     
Experiment 170       : size=1000000 processes=18 repeat=9 last_time=0.6647                     
Experiment 169       : size=1000000 processes=17 repeat=0 last_time=0.6764                     
Experiment 168       : size=1000000 processes=17 repeat=1 last_time=0.6953                     
Experiment 167       : size=1000000 processes=17 repeat=2 last_time=0.6769                     
Experiment 166       : size=1000000 processes=17 repeat=3 last_time=0.689                     
Experiment 165       : size=1000000 processes=17 repeat=4 last_time=0.6826                     
Experiment 164       : size=1000000 processes=17 repeat=5 last_time=0.6869                     
Experiment 163       : size=1000000 processes=17 repeat=6 last_time=0.7053                     
Experiment 162       : size=1000000 processes=17 repeat=7 last_time=0.6818                     
Experiment 161       : size=1000000 processes=17 repeat=8 last_time=0.6959                     
Experiment 160       : size=1000000 processes=17 repeat=9 last_time=0.6985                     
Experiment 159       : size=1000000 processes=16 repeat=0 last_time=0.6978                     
Experiment 158       : size=1000000 processes=16 repeat=1 last_time=0.6032                     
Experiment 157       : size=1000000 processes=16 repeat=2 last_time=0.5968                     
Experiment 156       : size=1000000 processes=16 repeat=3 last_time=0.5814                     
Experiment 155       : size=1000000 processes=16 repeat=4 last_time=0.5816                     
Experiment 154       : size=1000000 processes=16 repeat=5 last_time=0.5751                     
Experiment 153       : size=1000000 processes=16 repeat=6 last_time=0.5936                     
Experiment 152       : size=1000000 processes=16 repeat=7 last_time=0.5953                     
Experiment 151       : size=1000000 processes=16 repeat=8 last_time=0.5927                     
Experiment 150       : size=1000000 processes=16 repeat=9 last_time=0.5878                     
Experiment 149       : size=1000000 processes=15 repeat=0 last_time=0.6169                     
Experiment 148       : size=1000000 processes=15 repeat=1 last_time=0.6133                     
Experiment 147       : size=1000000 processes=15 repeat=2 last_time=0.6009                     
Experiment 146       : size=1000000 processes=15 repeat=3 last_time=0.6176                     
Experiment 145       : size=1000000 processes=15 repeat=4 last_time=0.6442                     
Experiment 144       : size=1000000 processes=15 repeat=5 last_time=0.6067                     
Experiment 143       : size=1000000 processes=15 repeat=6 last_time=0.611                     
Experiment 142       : size=1000000 processes=15 repeat=7 last_time=0.6105                     
Experiment 141       : size=1000000 processes=15 repeat=8 last_time=0.6123                     
Experiment 140       : size=1000000 processes=15 repeat=9 last_time=0.601                     
Experiment 139       : size=1000000 processes=14 repeat=0 last_time=0.5981                     
Experiment 138       : size=1000000 processes=14 repeat=1 last_time=0.6121                     
Experiment 137       : size=1000000 processes=14 repeat=2 last_time=0.6127                     
Experiment 136       : size=1000000 processes=14 repeat=3 last_time=0.611                     
Experiment 135       : size=1000000 processes=14 repeat=4 last_time=0.6166                     
Experiment 134       : size=1000000 processes=14 repeat=5 last_time=0.6066                     
Experiment 133       : size=1000000 processes=14 repeat=6 last_time=0.6185                     
Experiment 132       : size=1000000 processes=14 repeat=7 last_time=0.6081                     
Experiment 131       : size=1000000 processes=14 repeat=8 last_time=0.6169                     
Experiment 130       : size=1000000 processes=14 repeat=9 last_time=0.638                     
Experiment 129       : size=1000000 processes=13 repeat=0 last_time=0.6232                     
